year_range,Arch Pathol Lab Med p_value,Arch Pathol Lab Med t_statistic,Arch Pathol Lab Med word_count,Nature p_value,Nature t_statistic,Nature word_count,Radiology p_value,Radiology t_statistic,Radiology word_count,Science p_value,Science t_statistic,Science word_count,The New England journal of medicine p_value,The New England journal of medicine t_statistic,The New England journal of medicine word_count,Total p_value,Total t_statistic,Total word_count
1980-1984,0.6014,0.5227,88.082,0.048,-1.9782,107.1156,0.5979,-0.5277,97.5435,0.1459,1.4579,96.5083,0.0,11.9128,106.7445,0.2786,2.2775,99.1988
1985-1989,0.0214,2.305,100.3926,0.7463,-0.3236,109.5075,0.3252,-0.984,97.4318,0.0,5.9865,98.7974,0.0,14.6632,132.9447,0.2186,4.3294,107.8148
1990-1994,0.0,5.226,111.4247,0.214,1.2429,99.8847,0.6677,0.4294,94.7796,0.0,4.9667,89.7514,0.0,10.2992,145.3495,0.1763,4.4328,108.238
1995-1999,0.0066,2.7202,106.7186,0.1751,1.3563,103.1994,0.0,-7.7146,111.9054,0.0005,3.5084,80.1847,0.0,12.2058,143.3636,0.0364,2.4152,109.0743
2000-2004,0.7672,0.296,106.1303,0.0,-9.7107,105.5923,0.0,-7.025,124.108,0.0002,3.7263,83.9913,0.0,13.3686,139.9769,0.1535,0.131,111.9598
2005-2009,0.001,3.2984,107.6825,0.0,-16.0498,122.9399,0.0014,-3.203,125.3152,0.5709,0.5671,81.9944,0.0,8.1716,135.9236,0.1147,-1.4431,114.7711
2010-2014,0.0,-4.1291,110.2969,0.0,-22.6282,126.8061,0.0,-4.5272,133.5688,0.0065,2.7344,78.8921,0.0,4.3509,131.6324,0.0013,-4.8398,116.2393
2015-2019,0.0522,-1.943,112.3807,0.0,-22.8464,126.8819,0.0,-10.4217,163.563,0.8874,0.1417,77.8133,0.0479,1.9931,130.8727,0.1975,-6.6153,122.3023
2020-2023,0.0,-21.2542,120.491,0.0,-35.2457,120.9068,0.0,-11.9839,166.6216,0.4724,0.7193,79.2744,0.3953,0.8557,112.5758,0.1735,-13.3818,119.9739
Total,0.1611,-1.4398,107.0666,0.1315,-11.7982,113.6482,0.1769,-5.1064,123.8708,0.2315,2.6454,85.2453,0.0492,8.6468,131.0426,0.1501,-1.4104,112.1747
